"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25" "X26" "X27" "X28" "X29" "X30" "X31" "X42" "X43" "X44" "X45" "X46" "X48" "X49" "X50" "X51" "X53" "X54" "X56" "X57" "X58" "X61" "X62" "X71" "X72" "X81" "X82" "X83" "X84" "X85" "X90" "X91" "X92" "X93" "X95" "X96" "X97" "X99" "X100" "X101" "X102" "X103" "X104" "X112" "X113" "X114" "X115" "X116" "X117" "X118" "X119" "X120" "X121" "X122" "X123" "X124" "X125" "X126" "X127" "X128" "X129" "X130" "X131" "X132" "X133" "X134" "X135" "X136" "X137" "X138" "X139" "X140" "X141" "X142" "X143" "X144" "X145" "X146" "X147" "X148" "X149" "X150" "X151" "X152" "X153" "X155" "X156" "X157" "X158" "X159" "X161" "X166" "X167" "X171" "X172" "X173" "X174" "X177" "X178" "X179" "X180" "X181" "X182" "X183" "X184" "X185"
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Methylibium" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.23090430201931e-05 0 0 0 0 0 0 0 0 0 0.000101291466193973 0.000115767538782125 3.07323519468945e-05 2.93720260823592e-05 7.83146683373796e-05 8.64055299539171e-05 0 0 3.71678126742241e-05 4.44493832648072e-05 8.48896434634975e-05 0 0.000107086445533157 0.000208749589956163 0.000106963311584127 0.000271911538112934 9.7007324052966e-05 8.57289821112191e-05 0.000145964092833163 0 5.33432907476062e-05 9.2569735867687e-05 6.29287017808823e-05 0.000266753608583538 9.36504963476306e-05 0.000291154719618005 0.000220875156453236 0.000127009932176696 9.38321030902039e-05 6.20020460675202e-05 3.46488340667337e-05 0.000238023109880123 8.00277429508896e-05 5.07536923311171e-05 2.78164116828929e-05 0 0 9.65623792970259e-05 0.000151075658689872 0.000198358582727926 0.000174851376330119 0.000144033415752455 0.000211187666640268 0.00010435962326176 5.42211137016754e-05 8.75222452373312e-05 6.63217933412919e-05 0.000140367763540476 6.89631392020965e-05 5.7540710052362e-05 0.00020202603249733 2.53010828863475e-05 0 4.27021948928175e-05 0.000127991808524254 5.14006682086867e-05 4.54318295397756e-05 0 9.60430272762198e-05 5.31307281566294e-05 2.66240681576145e-05 2.72020020673522e-05 8.48080511109855e-05 2.06266372393309e-05 9.87069390978186e-05 0.000228532251614009 4.42468086989226e-05 2.69084842450825e-05 0 7.92476754015216e-05 0.000112508719425756 2.35045246209895e-05 7.03086549954299e-05 0.000193479732997968 4.73092844470727e-05 0.000154373398375992 0 2.68398733157979e-05 6.62251655629139e-05 0 4.72690316938858e-05 5.58207038990762e-05 7.77544514423451e-05 7.74373402854857e-05 0 0.000123915737298637 7.69363928372218e-05 2.32628469072045e-05 4.90737332842596e-05 2.88800323456362e-05 2.89025694384231e-05 0 0 2.51142699281732e-05 6.04692413125857e-05 5.34673581778324e-05 0.000231654268873388 0.000151391285917583 7.83637645952512e-05
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Rubrivivax" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000137181738366989 0 0 0 0 0 0 0 0 0 0.000405165864775893 0.000434128270432971 0.000460985279203417 0.000264348234741232 0.00057430756780745 0.00123847926267281 0.000246396451891093 5.58378468926238e-05 0.000223006876045345 0.00024447160795644 0.000424448217317487 7.72280286258559e-05 0.000401574170749337 0.00083499835982465 0.000392198809141798 0.00196380555303786 0.000557792113304555 0.000485797565296908 0.000233542548533061 8.42152541897089e-05 0.000533432907476062 0.000802271044186621 0.000881001824932352 0.000652064376537538 0.000608728226259599 0.000786117742968614 0.00107983409821582 0.000457235755836106 0.00112598523708245 0.000279009207303841 0.000173244170333668 0.00110356169126239 0.000613546029290154 0.000279145307821144 0.000305980528511822 0.00037793993662238 0.000137132826856093 0.000386249517188104 0.000815808556925308 0.000793434330911706 0.000824299345556277 0.000768178217346424 0.000659961458250838 0.00033916877560072 0.000677763921270943 0.000437611226186656 0.000132643586682584 0.000401050752972789 0.000482741974414675 0.000805569940733069 0.000548356373921325 0.00010120433154539 0.000381570161213393 0.000533777436160219 0.000921541021374632 0.00046260601387818 0.000227159147698878 0.00023551577955723 0.00019208605455244 0.000292219004861462 0.000186368477103301 0.000190414014471465 0.000169616102221971 0.000144386460675316 0.00037015102161682 0.000399931440324516 0.000774319152231145 0.000188359389715577 0.00029857228163509 0.000211327134404057 0.000765059292095137 9.40180984839582e-05 0.00044528814830439 0.000290219599496953 0.0005204021289178 0.000308746796751984 0.000269138755980861 0.000322078479789575 0.000353200883002208 7.26040658276863e-05 0.000212710642622486 0.000362834575343995 0.000440608558173289 0.000438811594951085 0.000318084552657452 0.000718711276332094 0.000384681964186109 0.000511782631958499 0.000269905533063428 0.000202160226419454 0.000144512847192115 8.07145931984503e-05 8.11776166251759e-05 0.000200914159425385 0.000503910344271547 0.000133668395444581 0.00115827134436694 0.000968904229872528 0.000339576313246088
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00729806848112379 0 0 0 0 0 0 0 0 0 0.0144846796657382 0.0142394072702014 0.0117090260917668 0.00420019972977736 0.0264181481191427 0.0368951612903226 0.00246396451891093 0.00418783851694679 0.00696896487641702 0.00706745193910435 0.015704584040747 0.00270298100190496 0.0150456455974085 0.0233203113351027 0.0156522979284772 0.0602435118885767 0.0212203521365863 0.0220037720752129 0.0079696394686907 0.00294753389663981 0.0108286880217641 0.0253641076277462 0.0269334843622176 0.0261714929310294 0.0150543172878816 0.0163628952425319 0.0248607259430142 0.0133868468514238 0.037251344926811 0.00961031714046564 0.0134437476178927 0.0394901977755658 0.0193133619654814 0.0103791300817134 0.00817802503477051 0.0080530278803384 0.00430597076328131 0.00840092699884125 0.0344150350495528 0.0218938285685949 0.0203576959584353 0.0230933576589769 0.0194820622475647 0.0118969970518406 0.0159952285419943 0.0168334451673134 0.00789229340761374 0.0185285447873428 0.0087238371090652 0.0138097704125669 0.0143438483073105 0.0066541847991094 0.00837069541161881 0.0151165769920574 0.0324587226417509 0.0188897455666924 0.00626959247648903 0.00406264719736222 0.00752337046997055 0.0057912493690726 0.00801384451544196 0.00342745226048637 0.00588002487702833 0.00257832965491636 0.00826670614944231 0.0175398503113752 0.024026017123515 0.00739983316739768 0.009310026600076 0.00713229078613694 0.0287572286852231 0.00364320131625338 0.00860109212777426 0.00767469607558608 0.0210289769367238 0.0140788539318905 0.0110944976076555 0.0113532664125825 0.0164679911699779 0.00355759922555663 0.00640495379452152 0.0125317480253426 0.0149806909778918 0.0128287860406288 0.0178705685038459 0.0321437422552664 0.013540805139351 0.0112824807499942 0.00758189179241811 0.00762432853924796 0.0033816006242955 0.00250215238915196 0.00411299924234225 0.0102215078607665 0.0122954124002258 0.00970432550927659 0.0366013744819953 0.0329730220728495 0.0110754120627955
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio" 0.00706406038320108 0.0124392144219661 0.0110411591635294 0.00640655358924539 0.00874280318030889 0.00817015349173609 0.00616649537512847 0.00481940333691296 0.00482420875666983 0.00808880955037376 0.00559581493074911 0.00834084180718239 0.00831568617323485 0.00567067551922123 0.00168603908545153 0.00374574027656518 0.00518100518100518 0.00680635634931796 0.00439528871014076 0.00371143586174901 0.00877087588609876 0.00526777875329236 0.00788693756582654 0.00201923319619375 0.00475947645758967 0.00440994241562796 0.00684426661050858 0.00903266766708992 0.00700805650590443 0.00586213246577865 0.00450346420323326 0.00141808052671562 0.00465964343598055 0.00350348812194597 0.00326029489514187 0.00851019395932858 0.0118663594470046 0.00289515830972034 0.00418783851694679 0.00356811001672552 0.00691187909767752 0.00517826825127334 0.00661586778561499 0.00578266805879046 0.00566606029881013 0.00516989339323279 0.00649566452158675 0.00293447155260222 0.00468651768874664 0.0146256021018829 0.00732672711450467 0.00293388099111834 0.00126511972352506 0.00346107859794852 0.00456445063576277 0.00419085971155647 0.0055319396727421 0.00650354627334528 0.00632509462239947 0.0023458025772551 0.00672722199832594 0.00505872977374311 0.00465226987492968 0.00765598740896844 0.00685174846470081 0.0047009735744089 0.00357589324650406 0.00567729903184224 0.00131968585039269 0.000302151317379744 0.00515732315092609 0.00187340760353699 0.00319274071584608 0.0091338665821916 0.00344386756763808 0.00211462343436534 0.0101817545292762 0.00752752354423664 0.00956506045840101 0.0019999310368608 0.0034812129581679 0.00810990216167855 0.00521202307458759 0.00369646093675475 0.00728072422922538 0.00317419685140151 0.00498586481624261 0.00263504611330698 0.00986222326895902 0.00419387885772826 0.00990888080121138 0.0123535676251331 0.0138730210543496 0.00539944592073274 0.00816814834677503 0.00352877307274701 0.00694166714277552 0.00544235746996748 0.00995613917068052 0.022990065685902 0.00681530008453085 0.0184964334735942 0.0074039252556117 0.00412477442639856 0.0104801522040566 0.00792430514488468 0.00598968785698848 0.0170454545454545 0.00485801707015943 0.00271523178807947 0.0102371732817038 0.00642858831036846 0.0202070948114656 0.0137366197548143 0.0128287860406288 0.0138511364293563 0.00339529120198265 0.00848223731030371 0.0117244748412311 0.00770457612562876 0.0076532085715936 0.00624295499869938 0.0231919931123547 0.00614243965797164 0.0117032497865287 0.00945335805853423 0.00318130781158103 0.00440143110859437 0.0102946074423956 0.00807146775331087
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__" 0.00234662279852913 0.000805996614814218 0.000727640861779873 0.00231056031087539 0.000456940932768757 0.000937558597412338 0.000398515007236194 0.000130962047198722 0.00129132860658334 8.36773401762803e-05 0.000128639423695382 0.000154460033466341 0.000619802696141728 0.000543439737258701 0.000178822327244859 0.00174613456501535 9.9000099000099e-05 0.00129377021515961 0.000545820166618788 7.73215804531045e-05 9.01117385558092e-05 0.000740781387181738 0.000465378303573615 0.000252404149524218 0.00269137061589892 0.000255120635614841 5.26482046962199e-05 0.000548308899919197 0 0.000890061997421889 0.000161662817551963 2.53228665484933e-05 0.000144709423477657 0.000799041150619257 0.00411208365153028 0.00101809068838593 0.00276497695852535 0.00471233214241715 0.00120051370819141 0.00120795391191228 0.00164462718079787 0.000452744765138653 0.00113267775317922 0.00125826573501459 0.00011928547997495 0.000499162120725924 9.0637179370978e-05 7.27554930397245e-05 8.57289821112191e-05 0.000145964092833163 0.00179659208938046 0 9.2569735867687e-05 3.14643508904411e-05 0 2.34126240869077e-05 0 0 0 0 0 3.46488340667337e-05 0 0 0 8.34492350486787e-05 0 0.000274265653712186 0 3.02151317379744e-05 0.000223153405568917 7.49363041414797e-05 7.20167078762273e-05 2.63984583300335e-05 0.00044352839886248 0 0 0.000696378830083565 0 3.44815696010482e-05 0.00140974739628287 0 0.00161926930472624 2.38481350758371e-05 0 0 2.57003341043434e-05 0 0 0 2.65653640783147e-05 0 2.72020020673522e-05 0 0 0 0 0 0.000726529074617227 5.42858693881983e-05 0.000132079459002536 9.00069755406044e-05 2.35045246209895e-05 4.687243666362e-05 3.22466221663281e-05 2.36546422235364e-05 0 5.98086124401914e-05 0 0 9.68054211035818e-05 0 0 2.59181504807817e-05 0 2.89167775143138e-05 0 0 0 0 0 5.78051388768462e-05 0.000161429186396901 2.70592055417253e-05 0 0 0 0 3.02782571835165e-05 0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia" 0.110944455196439 0.0564734961446495 0.0533076022651776 0.123221131124298 0.0293660706126055 0.0489673461734215 0.0193384650879879 0.0076743759658451 0.0529932022512974 0.00465803860314627 0.00722524763089061 0.0120736259492856 0.0417333815402097 0.0328899180114831 0.00495593306935752 0.0956712760864055 0.00805200805200805 0.016650260160315 0.0299339270324619 0.002963993917369 0.00489607112819897 0.0411270851624232 0.0310823719597325 0.0150685277265958 0.127372655674542 0.016509949704789 0.00723912814573023 0.0277617453538035 0.000744950888422911 0.048339573997913 0.017066974595843 0.00154469485945809 0.0083931465617041 0.0479117366852085 0.289255712859073 0.0500691779570313 0.162816820276498 0.266262165824812 0.0888380144061645 0.0777364802081398 0.114612734748305 0.0207130730050934 0.0536219945425526 0.0576125076968383 0.00873766140816509 0.0135843405711841 0.00202423033928517 0.00390454479313188 0.00122878207692747 0.00764851846445774 0.0999073632203913 0.000933507588083109 0.00913354727227845 0.000818073123151469 8.89178695278461e-05 0 0 0.000319041892654674 0.000203215891482714 0.000531715250844489 0 0.000415786008800804 6.49153936036699e-05 0.000266759143169632 5.07536923311171e-05 0.00411682892906815 0.000174433816902637 0.0196648473711637 0.000289687137891078 0.000120860526951898 0.00947162232525849 0.00294749462956487 0.00194445111265814 0.00158390749980201 0.0191760807743484 2.71105568508377e-05 0.000350088980949325 0.0400583631781403 0.000260682989432313 0.000344815696010482 0.051498935496864 0.000173165170711997 0.0872634348750126 0.000858532862730134 0.00051242633871381 0.000383975425572763 0.00421485479311231 2.27159147698878e-05 0.00144253414978804 0 0.00177987939324708 7.98722044728435e-05 0.000979272074424678 0 0.00121697159712052 0 0.000342798377421014 6.63702130483839e-05 0.0349810295186072 0.003012865751045 0.00565300084530854 0.00351027204608357 0.00289105652838171 0.00203895099486747 0.0010318919093225 0 6.17493593503967e-05 0.00173444976076555 0.00013419936657899 2.2075055187638e-05 0.00943852855759923 0 0 0.000103672601923127 7.74373402854857e-05 0.000665085882829218 0 0 0 4.90737332842596e-05 0.000317680355801999 0.00268793895777335 0.00621502367628067 0.00541184110834506 0 0.00064500524066758 0 0 0.00109001725860659 0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__" 0.000217727888523321 2.68665538271406e-05 0.000411275269701667 0 0 0 0.000188770266585565 0.000104769637758977 0.000170552834831762 2.78924467254268e-05 0.000235838943441533 0 5.16502246784773e-05 0 0.000102184186997062 2.8163460726054e-05 0.000297000297000297 0 0 0.000128869300755174 0 8.23090430201931e-05 0 0.000151442489714531 2.83302170094623e-05 0 2.63241023481099e-05 8.65750894609258e-05 5.5181547290586e-05 0 0.000138568129330254 0.00397569004811345 0.00260476962259782 0.000307323519468945 0 0.000339363562795312 2.88018433179724e-05 0 0 0 0 0.000367855121675156 0.000283169438294805 0 5.9642739987475e-05 0 0.000241699144989275 2.42518310132415e-05 0.00160027433274276 5.83856371332652e-05 0 0.000506761262102259 0.00416563811404591 0.000251714807123529 2.96392898426154e-05 7.0237872260723e-05 0 0 5.08039728706785e-05 0.000688102089328162 0 0 0.000605877006967586 0.000800277429508896 7.61305384966756e-05 0 0.00229671192255139 2.74265653712186e-05 9.65623792970259e-05 3.02151317379744e-05 2.47948228409908e-05 2.49787680471599e-05 0 5.27969166600671e-05 0 0 0 0 0.000120315225891837 3.44815696010482e-05 0 5.77217235706658e-05 5.06021657726951e-05 0 2.13510974464087e-05 7.67950851145527e-05 0 0.00020444323292899 0 0 0 0 0 0 0 0.000246767347744546 0 0 2.69084842450825e-05 5.42858693881983e-05 5.28317836010144e-05 4.50034877703022e-05 2.35045246209895e-05 7.03086549954299e-05 0.00261197639547257 0.000165582495564755 0.000463120195127976 0.000119617224880383 0 0.000441501103752759 4.84027105517909e-05 7.09035475408286e-05 0 5.18363009615634e-05 0.00224568286827908 2.89167775143138e-05 2.47831474597274e-05 0 0.0025821760066997 0.000147221199852779 5.77600646912725e-05 0 0 0 0 0 0.000133668395444581 0.000231654268873388 0.000121113028734066 0.000235091293785753
"k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__" 0 0 0 0 0 0 4.19489481301256e-05 5.23848188794887e-05 2.43646906902517e-05 2.78924467254268e-05 6.43197118476909e-05 0 5.16502246784773e-05 0 5.10920934985311e-05 0.000112653842904216 3.3000033000033e-05 0.000140627197299958 0.00011490950876185 5.15477203020696e-05 3.00372461852697e-05 0 4.89871898498543e-05 5.04808299048436e-05 5.66604340189246e-05 0.000145783220351338 5.26482046962199e-05 0 0.000110363094581172 9.20753790436437e-05 4.6189376443418e-05 0 0 3.07323519468945e-05 0 0 0 3.07995564863866e-05 0 0 0.000155572841426825 2.82965478211658e-05 5.14853524172373e-05 8.03148341498675e-05 0.000298213699937375 0.000106963311584127 0 2.42518310132415e-05 0 0 8.42152541897089e-05 0 6.17131572451247e-05 6.29287017808823e-05 0 0 2.91154719618005e-05 4.90833681007191e-05 2.54019864353392e-05 0 3.10010230337601e-05 0 4.32769290691133e-05 2.66759143169632e-05 2.53768461655585e-05 0 5.81446056342123e-05 0 0 3.02151317379744e-05 2.47948228409908e-05 0 0 7.91953749901006e-05 0 2.71105568508377e-05 2.91740817457771e-05 3.3160896670646e-05 2.00525376486394e-05 0 0.000201392485183267 2.88608617853329e-05 5.06021657726951e-05 7.15444052275112e-05 6.40532923392262e-05 2.55983617048509e-05 0 6.81477443096634e-05 0.000117757889778615 9.60430272762198e-05 5.31307281566294e-05 0.000106496272630458 0.000353626026875578 0.000113077401481314 4.12532744786617e-05 2.46767347744546e-05 2.85665314517511e-05 2.21234043494613e-05 5.3816968490165e-05 0.000271429346940991 0 4.50034877703022e-05 2.35045246209895e-05 0 0.000193479732997968 0.000165582495564755 0 0.000269138755980861 0 4.41501103752759e-05 0.000338818973862536 0.000118172579234714 0.000167462111697229 0.00015550890288469 0.000412999148189257 0.000289167775143138 0 0.000153872785674444 0.00025589131597925 4.90737332842596e-05 0.000259920291110726 0.000202317986068962 0.00118381403357727 0.000595302521917956 2.51142699281732e-05 0.00032250262033379 8.02010372667486e-05 2.57393632081542e-05 0.000454173857752748 2.61212548650837e-05
"k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium" 0.000266111863750726 0.000671663845678515 0.000885823657818976 0.000551383710549808 0.00100527005209127 0.000241086496477458 0.000167795792520503 0.000235731684957699 0.00014618814414151 0.000111569786901707 0.000192959135543073 7.72300167331703e-05 0.000361551572749341 0.000118139073317109 0.000178822327244859 0.00028163460726054 0.000264000264000264 0.000337505273519899 0.000718184429761563 0.000180417021057244 0.000570707677520125 0.00145412642669008 0.000146961569549563 0.000302884979429062 0.00130318998243527 0.00138494059333771 0.000658102558702748 0.000317441994690061 0.000496633925615274 0.000337609723160027 0.000323325635103926 0.00141808052671562 0.0054410743227599 0.00341129106610529 0.00111613699112965 0.00357636985407367 0.00161290322580645 0.000461993347295799 0.00206600033502708 0.00442296970823267 0.00293365929547728 0.00217883418222977 0.0296813056685373 0.0046850319920756 0.00599409536874124 0.00185403073412486 0.00344421281609716 0.00421981859630402 0.00168600331485397 0.00160560502116479 0.00204923785194958 0.00245379137438989 0.00404221179955567 0.00157321754452206 0.00237114318740923 0.00430792283199101 0.00430908985034647 0.0044911281812158 0.00576625092082201 0.00556737145001877 0.00530117493877298 0.00131665569453588 0.00246678495693946 0.0056552938351962 0.00187788661625133 0.00119610570236439 0.00212227810564875 0.00131647513781849 0.00276812153984808 0.00456248489243413 0.00456224740274231 0.00284757955737623 0.00338478527018268 0.004725324041076 0.00701818466435336 0.00585588027978095 0.00790617615310558 0.00159172304019101 0.00429124305680884 0.00244819144167443 0.00241670982219921 0.0111114317873532 0.00275781803461188 0.00505580463607746 0.00456913485353147 0.00209906565979777 0.00179902338730404 0.00642860387987824 0.0108926048045219 0.00361762069407094 0.00353319342241585 0.00380724174653887 0.00473314835971928 0.00678464408887884 0.0053422990449867 0.00607047675451584 0.00288521967662686 0.00393796597420411 0.00255630600328283 0.0060800173714782 0.00285291631445478 0.0029927319367251 0.00361969679163239 0.00646839625957955 0.00993195962722905 0.0107392075694855 0.00265522245206706 0.0062799043062201 0.00279134682484299 0.0115894039735099 0.00559051306873185 0.00817754248304223 0.0049122219431187 0.00596117461057979 0.00459461552360548 0.00506043606500492 0.00495662949194548 0.00307745571348887 0.00386163258659595 0.00672310145994357 0.00496736556344943 0.00268793895777335 0.00285191562634524 0.0044918281199264 0.00339042644030338 0.0044948802709022 0.00871517938298669 0.00298576613214589 0.00245253883186484 0.00386594572003239
"k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus" 0 0 0 0 0 0 0 0 0 0 0 0 0.000103300449356955 2.36278146634218e-05 0.000153276280495593 8.44903821781621e-05 0.000825000825000825 0.000337505273519899 0.000172364263142775 2.57738601510348e-05 0.000120148984741079 0 4.89871898498543e-05 0.000328125394381484 0.00099155759533118 0.000218674830527006 0.000263241023481099 0.000173150178921852 0.000110363094581172 0.000460376895218219 0.000115473441108545 0 0 0 2.93720260823592e-05 2.61048894457932e-05 0 0 2.79189234463119e-05 1.85839063371121e-05 0.000111123458162018 2.82965478211658e-05 0 5.35432227665783e-05 8.94641099812125e-05 3.56544371947089e-05 0 9.7007324052966e-05 0 2.91928185666326e-05 2.80717513965696e-05 0 3.08565786225623e-05 3.14643508904411e-05 0 0 0 0.000171791788352517 5.08039728706785e-05 6.25547353934693e-05 9.30030691012803e-05 3.46488340667337e-05 6.49153936036699e-05 0 2.53768461655585e-05 0.000222531293463143 5.81446056342123e-05 0 0 0 0 4.99575360943198e-05 2.40055692920758e-05 2.63984583300335e-05 0 0 5.83481634915541e-05 0.000862183313436795 0.000260682989432313 3.44815696010482e-05 0.00281949479256574 8.65825853559987e-05 0.00020240866309078 0.000119240675379185 2.13510974464087e-05 0 7.71010023130301e-05 0.000159011403389214 0.000471031559114461 9.60430272762198e-05 0.000159392184469888 0 8.16060062020565e-05 5.6538700740657e-05 6.18799117179926e-05 0 0.000114266125807005 0 2.69084842450825e-05 0.000135714673470496 5.28317836010144e-05 4.50034877703022e-05 2.35045246209895e-05 0.00011718109165905 6.44932443326562e-05 2.36546422235364e-05 3.08746796751984e-05 0.000179425837320574 5.36797466315959e-05 4.41501103752759e-05 0.000484027105517909 9.45380633877715e-05 5.58207038990762e-05 7.77544514423451e-05 7.74373402854857e-05 5.78335550286276e-05 0 7.69363928372218e-05 2.32628469072045e-05 0 8.66400970369087e-05 5.78051388768462e-05 8.07145931984503e-05 2.70592055417253e-05 5.02285398563464e-05 0.000221720551479481 5.34673581778324e-05 2.57393632081542e-05 3.02782571835165e-05 7.83637645952512e-05
"k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania" 0 0 0 0 3.04627288512505e-05 0.00034823605046744 0.000104872370325314 0.000288116503837188 0 0.000111569786901707 8.57596157969212e-05 2.57433389110568e-05 5.16502246784773e-05 7.08834439902653e-05 0.000281006514241921 0.000366124989438702 0.000198000198000198 0.000281254394599916 0.0006894570525711 0.000257738601510348 0.000660819416075934 0.000521290605794557 0.000465378303573615 0.000403846639238749 0.000679925208227095 0.000947590932283694 0.000421185637569759 0.000230866905229135 0.000524224699260567 0.000368301516174575 0.000531177829099307 0 0.000260476962259782 0.00027659116752205 0.000381836339070669 0.00057430756780745 0.000576036866359447 0.000215596895404706 0.00072589200960411 0.00143096078795763 0.00137793088120902 0.00033955857385399 0.000437625495546517 0.00115117928948143 0.00134196164971819 0.00064177986950476 0.000302123931236593 0.000533540282291313 0.00094301880322341 0.000408699459932857 0.00168430508379418 0.000400074680607047 0.000740557886941496 0.000692215719589705 0.000474228637481846 0.000421427233564338 0.00058230943923601 0.00132525093871941 0.000381029796530089 0.00087576629550857 0.000310010230337601 0.000207893004400402 0.000562600077898472 0.000693573772241044 0.00035527584631782 0.000723226703755216 0.000581446056342123 0.000274265653712186 0.000482811896485129 0.000513657239545564 0.000595075748183779 0.000549532897037518 0.000360083539381136 0.000422375333280536 0.00060006783375512 0.000460879466464241 0.0010210928611022 0.000862183313436795 0.000741943892999659 0.000275852556808386 0.000632947810575983 0.00101013016248665 0.000480720574840603 0.000524658971668416 0.000768639508070715 0.00056316395750672 0.000565407350295554 0.000931352505565399 0.00061822892133773 0.000800358560635165 0.000478176553409664 0.000718849840255591 0.000734454055818508 0.000452309605925256 0.000371279470307956 0.000493534695489093 0.00077129634919728 0.000265480852193536 0.000376718779431155 0.000542858693881982 0.000581149619611158 0.00040503138993272 0.000164531672346927 0.00042185192997258 0.000354712843829609 0.000685984624482555 0.000277872117076785 0.000657894736842105 0.000241558859842182 0.000242825607064018 0.000411423039690223 0.0003308832218572 0.000446565631192609 0.000803462664904232 0.000929248083425828 0.000549418772771962 0.000247831474597274 0.000500086553441942 0.00046525693814409 0.000269905533063428 0.00046208051753018 0.000260123124945808 0.000618811881188119 0.000757657755168308 0.000251142699281732 0.000403128275417238 0.000721809335400738 0.000283132995289697 0.000908347715505495 0.000574667607031842
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia" 0.00955583510741242 0.361623814513312 0.351640355594926 0.240823399674421 0.348371767142901 0.502665345155501 0.332948801308807 0.106865030514157 0.102234242136296 0.183950686154189 0.104090733673513 0.23264255373922 0.173183203346935 0.191739715993668 0.178745689104611 0.161742754949728 0.383559383559384 0.123414428350443 0.184630853203103 0.0641253640557746 0.16421362489487 8.23090430201931e-05 0.307174173953511 0.154218935359297 0.165278486033203 0.107150666958233 0.187269664104454 0.229164261803071 0.230272596843616 0.195291878951568 0.187505773672055 0.0645479868321094 0.0656691363741607 0.011370970220351 0.000411208365153028 7.83146683373796e-05 0.000547235023041475 9.23986694591598e-05 0.00013959461723156 0.000464597658427802 0.000444493832648072 2.82965478211658e-05 0.000489110847963754 0.043048751104329 0.0433602719708943 0.251042892287945 0.0288528354330947 0.150337100451084 0.0568383151397382 0.266997518610422 0.157510597086152 0.0415277518470114 0.00191310787459886 0.102164747341262 0.0672811879427369 0.0404570144221764 0.164240377336517 0.181044003239502 0.0766123910889832 0.00353434254973101 0.0281179278916204 0.236998025016458 0.0324360583373004 0.0887774428468536 0.118509871593158 0.0762726008344923 0.0545396400848911 0.21044403609336 0.0117162353547058 3.02151317379744e-05 0.0263321018571322 0.0404905830044462 0.0509878291763689 0.159657875980043 0.00764434240392392 0.0191671636935423 0.124981766198909 0.14938983950126 0.113356995327759 0.00120685493603669 0.256689107543587 0.00268406014603596 0.000632527072158688 0.000906229132881809 0.0162908873516099 0.0304108537053629 0.109637625289129 0.118349915951115 0.146078662270372 0.171468818030478 0.0376962516271286 0.150053248136315 0.0823948642620097 0.0142477525866456 0.142323796951383 0.0707481985983615 0.115323087470719 0.0428530342249065 0.0667061324435595 0.0589544541555833 0.191251056635672 0.129767556985666 0.153954636267481 0.110126789941175 0.0424688013930541 0.0469781194559432 0.0475161320201303 0.16872009569378 0.105373342637823 0.0058719646799117 0.248063891577928 0.115194630238 0.141170560160764 0.185625793743358 0.233602643194548 0.0689665143716384 0.00332094175960347 0.0219268719586082 0.00151208504896829 0.0109189056557478 0.153901692369895 0.35905662013353 0.286025613430908 0.0887000757657755 0.112938871866995 0.138353624123196 0.0342191092338128 0.00319168103781112 0.0204378235988736 0.0952119739832302
